Year,Q&A,수식,QNA
2024,"Q1 완제품 신규 허가 준비 중입니다. BCS 자료 작성의 경우, 현재 신규 허가 진행 중인 수탁사로부터 허여를 받아 신규 허가신청 예정입니다. 이때 허여받아 신규 허가 진행(검토) 중인 완제품 민원과는 별도로 폐사 회사명으로 작성한 BCS 자료를 ‘의약품 등의 사전검토’ 민원으로 신청하여 BCS 자료만 별도로 검토가 가능한가요? 허가 신청과 별도로 ‘의약품 등의 사전검토’ 민원으로 BCS 자료 검토를 신청하시는 경우, 「의약품동등성시험기준」 (식약처 고시) [별표 5]에 따른 자료 검토가 가능함을 알려드립니다.","2024 Q1 완제품 신규 허가 준비 중입니다. BCS 자료 작성의 경우, 현재 신규 허가 진행 중인 수탁사로부터 허여를 받아 신규 허가신청 예정입니다. 이때 허여받아 신규 허가 진행(검토) 중인 완제품 민원과는 별도로 폐사 회사명으로 작성한 BCS 자료를 ‘의약품 등의 사전검토’ 민원으로 신청하여 BCS 자료만 별도로 검토가 가능한가요? 허가 신청과 별도로 ‘의약품 등의 사전검토’ 민원으로 BCS 자료 검토를 신청하시는 경우, 「의약품동등성시험기준」 (식약처 고시) [별표 5]에 따른 자료 검토가 가능함을 알려드립니다.","2024 Q1 완제품 신규 허가 준비 중입니다. BCS 자료 작성의 경우, 현재 신규 허가 진행 중인 수탁사로부터 허여를 받아 신규 허가신청 예정입니다. 이때 허여받아 신규 허가 진행(검토) 중인 완제품 민원과는 별도로 폐사 회사명으로 작성한 BCS 자료를 ‘의약품 등의 사전검토’ 민원으로 신청하여 BCS 자료만 별도로 검토가 가능한가요? 허가 신청과 별도로 ‘의약품 등의 사전검토’ 민원으로 BCS 자료 검토를 신청하시는 경우, 「의약품동등성시험기준」 (식약처 고시) [별표 5]에 따른 자료 검토가 가능함을 알려드립니다."
2024,"Q2 완제의약품의 허가 변경 진행 시, DMF가 실제로는 보고수준의 경미한 사항 일지라도 변경등록된 경우, 원료-완제 연계심사가 진행되는지와 DMF 변경 보고수준의 내용과 완제의약품 제조방법에서 주성분 제조원 소재지 업데이트만 있는 경우, 제조방법 CTD 전환 간소화 대상으로 처리될 수 있나요? 개발하고자 하는 품목에 대한 정보가 부족하여 일반적인 답변만 가능한 점 양해 바랍니다. '완제의약품 중심 허가·심사 운영 관리 방안 관련 질의응답집(민원인 안내서)'에 따라 완제의약품 품질에 영향이 있을 경우 연계심사가 진행되며 완제의약품 변경 허가(신고)사항에 원료의약품에 대한 변경사항 미포함 시 연계심사가 진행되지 않습니다. - 연계심사 이력 확인은 연계심사 문서번호와 DMF 문서번호 비교 확인을 통해 가능함을 알려드립니다. '기허가 의약품의 제조방법 CTD전환시 절차 간소화 방안’에 따라 다음 사항으로 변경허가(제조방법 변경)가 필요한 경우 간소화 대상에 해당합니다. ① 실제 제조장소의 변경이 없는 제조원(주성분 제조원 및 완제 제조원)의 명칭/ 주소 변경 및 삭제 - 이미 허가증상 DMF 등록번호가 기재되어 있는 품목 또는 해당 완제의약품 허가나 변경허가시 CTD 3부 원료의약품에 관한 자료에 대하여 검토된 이력이 있는 경우에 한함 ② 동일 주성분 제조원의 DMF 등록 허여번호 변경","2024 Q2 완제의약품의 허가 변경 진행 시, DMF가 실제로는 보고수준의 경미한 사항 일지라도 변경등록된 경우, 원료-완제 연계심사가 진행되는지와 DMF 변경 보고수준의 내용과 완제의약품 제조방법에서 주성분 제조원 소재지 업데이트만 있는 경우, 제조방법 CTD 전환 간소화 대상으로 처리될 수 있나요? 개발하고자 하는 품목에 대한 정보가 부족하여 일반적인 답변만 가능한 점 양해 바랍니다. '완제의약품 중심 허가·심사 운영 관리 방안 관련 질의응답집(민원인 안내서)'에 따라 완제의약품 품질에 영향이 있을 경우 연계심사가 진행되며 완제의약품 변경 허가(신고)사항에 원료의약품에 대한 변경사항 미포함 시 연계심사가 진행되지 않습니다. - 연계심사 이력 확인은 연계심사 문서번호와 DMF 문서번호 비교 확인을 통해 가능함을 알려드립니다. '기허가 의약품의 제조방법 CTD전환시 절차 간소화 방안’에 따라 다음 사항으로 변경허가(제조방법 변경)가 필요한 경우 간소화 대상에 해당합니다. ① 실제 제조장소의 변경이 없는 제조원(주성분 제조원 및 완제 제조원)의 명칭/ 주소 변경 및 삭제 - 이미 허가증상 DMF 등록번호가 기재되어 있는 품목 또는 해당 완제의약품 허가나 변경허가시 CTD 3부 원료의약품에 관한 자료에 대하여 검토된 이력이 있는 경우에 한함 ② 동일 주성분 제조원의 DMF 등록 허여번호 변경","2024 Q2 완제의약품의 허가 변경 진행 시, DMF가 실제로는 보고수준의 경미한 사항 일지라도 변경등록된 경우, 원료-완제 연계심사가 진행되는지와 DMF 변경 보고수준의 내용과 완제의약품 제조방법에서 주성분 제조원 소재지 업데이트만 있는 경우, 제조방법 CTD 전환 간소화 대상으로 처리될 수 있나요? 개발하고자 하는 품목에 대한 정보가 부족하여 일반적인 답변만 가능한 점 양해 바랍니다. '완제의약품 중심 허가·심사 운영 관리 방안 관련 질의응답집(민원인 안내서)'에 따라 완제의약품 품질에 영향이 있을 경우 연계심사가 진행되며 완제의약품 변경 허가(신고)사항에 원료의약품에 대한 변경사항 미포함 시 연계심사가 진행되지 않습니다. - 연계심사 이력 확인은 연계심사 문서번호와 DMF 문서번호 비교 확인을 통해 가능함을 알려드립니다. '기허가 의약품의 제조방법 CTD전환시 절차 간소화 방안’에 따라 다음 사항으로 변경허가(제조방법 변경)가 필요한 경우 간소화 대상에 해당합니다. ① 실제 제조장소의 변경이 없는 제조원(주성분 제조원 및 완제 제조원)의 명칭/ 주소 변경 및 삭제 - 이미 허가증상 DMF 등록번호가 기재되어 있는 품목 또는 해당 완제의약품 허가나 변경허가시 CTD 3부 원료의약품에 관한 자료에 대하여 검토된 이력이 있는 경우에 한함 ② 동일 주성분 제조원의 DMF 등록 허여번호 변경"
2024,"Q3 신약(내용고형제)의 글로벌 진출을 목적으로, 글로벌 임상(임상3상 포함)을 수행하였고, 국내 및 해외 임상수행의 원활화를 위해 CGMP 인증된 임상시험용 의약품의 전공정을 해외 제조원에 위탁하여 제조하였습니다. 임상시험 종료 후, 국내 제조원으로 기술이전을 수행하지 않고, 임상시험약을 제조한 해외 위탁 제조원을 시판 제조원으로 허가를 득할 수 있나요? 먼저, 문의하신 신약에 대한 자세한 정보가 제시되지 아니하여 일반적인 답변만 가능한 점 양해 바랍니다. 「의약품의 품목허가·신고·심사 규정」 제3조제10항에 따라 국내제약사가 해외에 설립한 의약품 제조업자에게 일부 공정을 위탁하여 제조하는 제제에 해당하는 의약품의 경우에는 외국에 소재한 다른 의약품 제조업자에게 제조를 위탁하여 허가를 신청하거나 신고할 수 있습니다. - 질의하신 바와 같이 임상시험약을 제조한 위탁제조원이 국내 제약사가 설립한 해외 제조원에 해당하지 않는다면 위탁 제조원으로써 허가를 득할 수 없음을 알려드립니다.","2024 Q3 신약(내용고형제)의 글로벌 진출을 목적으로, 글로벌 임상(임상3상 포함)을 수행하였고, 국내 및 해외 임상수행의 원활화를 위해 CGMP 인증된 임상시험용 의약품의 전공정을 해외 제조원에 위탁하여 제조하였습니다. 임상시험 종료 후, 국내 제조원으로 기술이전을 수행하지 않고, 임상시험약을 제조한 해외 위탁 제조원을 시판 제조원으로 허가를 득할 수 있나요? 먼저, 문의하신 신약에 대한 자세한 정보가 제시되지 아니하여 일반적인 답변만 가능한 점 양해 바랍니다. 「의약품의 품목허가·신고·심사 규정」 제3조제10항에 따라 국내제약사가 해외에 설립한 의약품 제조업자에게 일부 공정을 위탁하여 제조하는 제제에 해당하는 의약품의 경우에는 외국에 소재한 다른 의약품 제조업자에게 제조를 위탁하여 허가를 신청하거나 신고할 수 있습니다. - 질의하신 바와 같이 임상시험약을 제조한 위탁제조원이 국내 제약사가 설립한 해외 제조원에 해당하지 않는다면 위탁 제조원으로써 허가를 득할 수 없음을 알려드립니다.","2024 Q3 신약(내용고형제)의 글로벌 진출을 목적으로, 글로벌 임상(임상3상 포함)을 수행하였고, 국내 및 해외 임상수행의 원활화를 위해 CGMP 인증된 임상시험용 의약품의 전공정을 해외 제조원에 위탁하여 제조하였습니다. 임상시험 종료 후, 국내 제조원으로 기술이전을 수행하지 않고, 임상시험약을 제조한 해외 위탁 제조원을 시판 제조원으로 허가를 득할 수 있나요? 먼저, 문의하신 신약에 대한 자세한 정보가 제시되지 아니하여 일반적인 답변만 가능한 점 양해 바랍니다. 「의약품의 품목허가·신고·심사 규정」 제3조제10항에 따라 국내제약사가 해외에 설립한 의약품 제조업자에게 일부 공정을 위탁하여 제조하는 제제에 해당하는 의약품의 경우에는 외국에 소재한 다른 의약품 제조업자에게 제조를 위탁하여 허가를 신청하거나 신고할 수 있습니다. - 질의하신 바와 같이 임상시험약을 제조한 위탁제조원이 국내 제약사가 설립한 해외 제조원에 해당하지 않는다면 위탁 제조원으로써 허가를 득할 수 없음을 알려드립니다."
2024,"Q4 OOO크림(모메타손푸로에이트)을 대조약으로 하여 모메타손푸로에이트 크림제 제네릭의약품을 개발 시, 대조약과 일부 첨가제가 달라 생물학적동등성시험을 하고자 할 때, 국소 외용제제 동등성 평가 가이드라인에 제시된 시험항목 중 시험관내 약물방출시험, 피부약동학실험, 약력학시험을 모두 수행해야 하는지와 추가로, 피부약동학실험 중 피부투과도 시험과 테이프 박리 시험을 모두 수행해야 하는지 문의드립니다. 액제를 제외한 국소 적용 외용제제는 「의약품의 품목허가‧신고‧심사 규정」 (식약처 고시) 제27조제3항4호에 따라 기허가 사항과 원료약품의 종류가 동일하거나 첨가제 중 보존제, 항산화제, 착색제 및 착향제가 상이한 경우에는 이화학적동등성 시험자료(방출시험 포함)로서 생물학적동등성시험 또는 비교임상시험성적에 관한 자료의 갈음이 가능합니다. - 다만, 변경 가능한 첨가제를 제외한 첨가제의 종류가 상이한 경우에는 해당 첨가제가 의약품의 안전성 및 유효성에 영향을 미치지 않음을 입증할 수 있는 자료로서 피부약동학시험자료 또는 약력학시험자료를 제출해야 합니다. 피부약동학 시험으로는 피부투과도 시험, 테이프박리 시험 등이 있으며, 모두 수행하지 않고 제제 특성에 적합한 시험방법을 선택하여 동등성 평가를 진행 하시기 바라며, 자세한 사항은 '국소 외용제제 동등성 평가 가이드라인(민원인 안내서) (2021.12.)'을 참고하시기 바랍니다.","2024 Q4 OOO크림(모메타손푸로에이트)을 대조약으로 하여 모메타손푸로에이트 크림제 제네릭의약품을 개발 시, 대조약과 일부 첨가제가 달라 생물학적동등성시험을 하고자 할 때, 국소 외용제제 동등성 평가 가이드라인에 제시된 시험항목 중 시험관내 약물방출시험, 피부약동학실험, 약력학시험을 모두 수행해야 하는지와 추가로, 피부약동학실험 중 피부투과도 시험과 테이프 박리 시험을 모두 수행해야 하는지 문의드립니다. 액제를 제외한 국소 적용 외용제제는 「의약품의 품목허가‧신고‧심사 규정」 (식약처 고시) 제27조제3항4호에 따라 기허가 사항과 원료약품의 종류가 동일하거나 첨가제 중 보존제, 항산화제, 착색제 및 착향제가 상이한 경우에는 이화학적동등성 시험자료(방출시험 포함)로서 생물학적동등성시험 또는 비교임상시험성적에 관한 자료의 갈음이 가능합니다. - 다만, 변경 가능한 첨가제를 제외한 첨가제의 종류가 상이한 경우에는 해당 첨가제가 의약품의 안전성 및 유효성에 영향을 미치지 않음을 입증할 수 있는 자료로서 피부약동학시험자료 또는 약력학시험자료를 제출해야 합니다. 피부약동학 시험으로는 피부투과도 시험, 테이프박리 시험 등이 있으며, 모두 수행하지 않고 제제 특성에 적합한 시험방법을 선택하여 동등성 평가를 진행 하시기 바라며, 자세한 사항은 '국소 외용제제 동등성 평가 가이드라인(민원인 안내서) (2021.12.)'을 참고하시기 바랍니다.","2024 Q4 OOO크림(모메타손푸로에이트)을 대조약으로 하여 모메타손푸로에이트 크림제 제네릭의약품을 개발 시, 대조약과 일부 첨가제가 달라 생물학적동등성시험을 하고자 할 때, 국소 외용제제 동등성 평가 가이드라인에 제시된 시험항목 중 시험관내 약물방출시험, 피부약동학실험, 약력학시험을 모두 수행해야 하는지와 추가로, 피부약동학실험 중 피부투과도 시험과 테이프 박리 시험을 모두 수행해야 하는지 문의드립니다. 액제를 제외한 국소 적용 외용제제는 「의약품의 품목허가‧신고‧심사 규정」 (식약처 고시) 제27조제3항4호에 따라 기허가 사항과 원료약품의 종류가 동일하거나 첨가제 중 보존제, 항산화제, 착색제 및 착향제가 상이한 경우에는 이화학적동등성 시험자료(방출시험 포함)로서 생물학적동등성시험 또는 비교임상시험성적에 관한 자료의 갈음이 가능합니다. - 다만, 변경 가능한 첨가제를 제외한 첨가제의 종류가 상이한 경우에는 해당 첨가제가 의약품의 안전성 및 유효성에 영향을 미치지 않음을 입증할 수 있는 자료로서 피부약동학시험자료 또는 약력학시험자료를 제출해야 합니다. 피부약동학 시험으로는 피부투과도 시험, 테이프박리 시험 등이 있으며, 모두 수행하지 않고 제제 특성에 적합한 시험방법을 선택하여 동등성 평가를 진행 하시기 바라며, 자세한 사항은 '국소 외용제제 동등성 평가 가이드라인(민원인 안내서) (2021.12.)'을 참고하시기 바랍니다."
2024,"Q5 주성분 제조원 변경 목적으로 비교용출 시험 수행 시, 과거 용출 수행한 이후로 부터 허가사항 변경이 없었다면 ""대조약(변경전제제) 용출 시험을 새로 수행하지 않고"" 과거 용출 데이터를 끌어와 시험약과의 동등성을 입증해도 되나요? 기존에 수행되었던 비교용출시험을 대조약 자료로 사용하려는 경우, 현재 허가사항 (원약분량, 공정조건이 포함된 제조방법 등)과 동일함을 확인할 수 있는 자료 및 시험법을 검증할 수 있는 자료(실험실 내 밸리데이션 등)가 필요하며 해당 자료에 대한 타당성을 입증할 수 있는 자료가 추가로 요구될 수 있음을 알려드리니 업무에 참고하시기 바랍니다.","2024 Q5 주성분 제조원 변경 목적으로 비교용출 시험 수행 시, 과거 용출 수행한 이후로 부터 허가사항 변경이 없었다면 ""대조약(변경전제제) 용출 시험을 새로 수행하지 않고"" 과거 용출 데이터를 끌어와 시험약과의 동등성을 입증해도 되나요? 기존에 수행되었던 비교용출시험을 대조약 자료로 사용하려는 경우, 현재 허가사항 (원약분량, 공정조건이 포함된 제조방법 등)과 동일함을 확인할 수 있는 자료 및 시험법을 검증할 수 있는 자료(실험실 내 밸리데이션 등)가 필요하며 해당 자료에 대한 타당성을 입증할 수 있는 자료가 추가로 요구될 수 있음을 알려드리니 업무에 참고하시기 바랍니다.","2024 Q5 주성분 제조원 변경 목적으로 비교용출 시험 수행 시, 과거 용출 수행한 이후로 부터 허가사항 변경이 없었다면 ""대조약(변경전제제) 용출 시험을 새로 수행하지 않고"" 과거 용출 데이터를 끌어와 시험약과의 동등성을 입증해도 되나요? 기존에 수행되었던 비교용출시험을 대조약 자료로 사용하려는 경우, 현재 허가사항 (원약분량, 공정조건이 포함된 제조방법 등)과 동일함을 확인할 수 있는 자료 및 시험법을 검증할 수 있는 자료(실험실 내 밸리데이션 등)가 필요하며 해당 자료에 대한 타당성을 입증할 수 있는 자료가 추가로 요구될 수 있음을 알려드리니 업무에 참고하시기 바랍니다."
2024,"Q6 리나글립틴과 메트포르민을 주성분으로 하는 서방형제제(전문의약품, 자료제출 의약품)의 직접용기 추가 시, 주성분, 제형, 투여경로가 동일한 기허가 의약품에서 사용례가 확인되는 경우, 실생산 1배치 장기보존시험 계획서 및 이행서약으로 포장용기 추가가 가능한가요? 고형제제로서 주성분, 제형, 투여경로가 동일한 기허가 의약품에서 사용례가 확인되는 용기로의 변경에 해당하는 경우, 「의약품 허가 후 제조방법 변경관리 가이드라인(민원인 안내서)」 '20. 비무균제제의 직접용기 및 포장 재질, 종류 변경' 및 「의약품등 안정성시험기준 질의응답집」 'Q19. 전문의약품의 용기 재질·종류 변경 시 안정성시험 자료 요건'에 따라 다음의 제출자료가 요구됩니다. - 용기·포장 재질 변경이 반영된 의약품의 성상 - (해당하는 경우) 현재의 포장 시스템에 비해 동등하거나 우수한 보호성을 입증 하는 용기마개 시스템의 적합성에 대한 자료. 기능성 포장을 변경하는 경우, 새로운 포장의 기능성을 입증하는 자료. 기허가 의약품에서 변경하고자 하는 용기·포장 재질의 사용례 등 - 직접 용기·포장의 재질 및 종류 변경이 반영된 제조방법 자료 - 변경하고자 하는 일차 포장 유형에 대한 정보 - 안정성 요약문과 결론, 2배치(파일럿배치 이상)이상에 대한 3개월 이상의 장기 보존 및 가속시험. 해당되는 경우, 광 가혹 시험결과 - 변경 후 제제의 생산규모 1배치에 대한 안정성 시험 계획 및 이행서약","2024 Q6 리나글립틴과 메트포르민을 주성분으로 하는 서방형제제(전문의약품, 자료제출 의약품)의 직접용기 추가 시, 주성분, 제형, 투여경로가 동일한 기허가 의약품에서 사용례가 확인되는 경우, 실생산 1배치 장기보존시험 계획서 및 이행서약으로 포장용기 추가가 가능한가요? 고형제제로서 주성분, 제형, 투여경로가 동일한 기허가 의약품에서 사용례가 확인되는 용기로의 변경에 해당하는 경우, 「의약품 허가 후 제조방법 변경관리 가이드라인(민원인 안내서)」 '20. 비무균제제의 직접용기 및 포장 재질, 종류 변경' 및 「의약품등 안정성시험기준 질의응답집」 'Q19. 전문의약품의 용기 재질·종류 변경 시 안정성시험 자료 요건'에 따라 다음의 제출자료가 요구됩니다. - 용기·포장 재질 변경이 반영된 의약품의 성상 - (해당하는 경우) 현재의 포장 시스템에 비해 동등하거나 우수한 보호성을 입증 하는 용기마개 시스템의 적합성에 대한 자료. 기능성 포장을 변경하는 경우, 새로운 포장의 기능성을 입증하는 자료. 기허가 의약품에서 변경하고자 하는 용기·포장 재질의 사용례 등 - 직접 용기·포장의 재질 및 종류 변경이 반영된 제조방법 자료 - 변경하고자 하는 일차 포장 유형에 대한 정보 - 안정성 요약문과 결론, 2배치(파일럿배치 이상)이상에 대한 3개월 이상의 장기 보존 및 가속시험. 해당되는 경우, 광 가혹 시험결과 - 변경 후 제제의 생산규모 1배치에 대한 안정성 시험 계획 및 이행서약 9","2024 Q6 리나글립틴과 메트포르민을 주성분으로 하는 서방형제제(전문의약품, 자료제출 의약품)의 직접용기 추가 시, 주성분, 제형, 투여경로가 동일한 기허가 의약품에서 사용례가 확인되는 경우, 실생산 1배치 장기보존시험 계획서 및 이행서약으로 포장용기 추가가 가능한가요? 고형제제로서 주성분, 제형, 투여경로가 동일한 기허가 의약품에서 사용례가 확인되는 용기로의 변경에 해당하는 경우, 「의약품 허가 후 제조방법 변경관리 가이드라인(민원인 안내서)」 '20. 비무균제제의 직접용기 및 포장 재질, 종류 변경' 및 「의약품등 안정성시험기준 질의응답집」 'Q19. 전문의약품의 용기 재질·종류 변경 시 안정성시험 자료 요건'에 따라 다음의 제출자료가 요구됩니다. - 용기·포장 재질 변경이 반영된 의약품의 성상 - (해당하는 경우) 현재의 포장 시스템에 비해 동등하거나 우수한 보호성을 입증 하는 용기마개 시스템의 적합성에 대한 자료. 기능성 포장을 변경하는 경우, 새로운 포장의 기능성을 입증하는 자료. 기허가 의약품에서 변경하고자 하는 용기·포장 재질의 사용례 등 - 직접 용기·포장의 재질 및 종류 변경이 반영된 제조방법 자료 - 변경하고자 하는 일차 포장 유형에 대한 정보 - 안정성 요약문과 결론, 2배치(파일럿배치 이상)이상에 대한 3개월 이상의 장기 보존 및 가속시험. 해당되는 경우, 광 가혹 시험결과 - 변경 후 제제의 생산규모 1배치에 대한 안정성 시험 계획 및 이행서약 9"
2024,"Q7 대조약 동등성 비교를 위한 개발 중인 합성펩타이드 원료에 대한 API Sameness 자료 준비 관련, 해당 시험자료는 GMP 기관 또는 식약처 인증기관에서 수행 해야 하나요? 합성 펩타이드 유효성분의 동일성 시험을 위한 기관은 별도 요건이 없음을 알려 드립니다. - 또한, 펩타이드의 특성이 완제의약품의 제제화에 따라 달라질 수 있으므로, 대조약과 개발하시는 완제의약품을 비교 평가하는 것을 권고합니다.","2024 Q7 대조약 동등성 비교를 위한 개발 중인 합성펩타이드 원료에 대한 API Sameness 자료 준비 관련, 해당 시험자료는 GMP 기관 또는 식약처 인증기관에서 수행 해야 하나요? 합성 펩타이드 유효성분의 동일성 시험을 위한 기관은 별도 요건이 없음을 알려 드립니다. - 또한, 펩타이드의 특성이 완제의약품의 제제화에 따라 달라질 수 있으므로, 대조약과 개발하시는 완제의약품을 비교 평가하는 것을 권고합니다.","2024 Q7 대조약 동등성 비교를 위한 개발 중인 합성펩타이드 원료에 대한 API Sameness 자료 준비 관련, 해당 시험자료는 GMP 기관 또는 식약처 인증기관에서 수행 해야 하나요? 합성 펩타이드 유효성분의 동일성 시험을 위한 기관은 별도 요건이 없음을 알려 드립니다. - 또한, 펩타이드의 특성이 완제의약품의 제제화에 따라 달라질 수 있으므로, 대조약과 개발하시는 완제의약품을 비교 평가하는 것을 권고합니다."
2024,"Q8 보노프라잔푸마르산염 제제(보신티정10밀리그램)가 대조약이 선정되어 공고 되었으나, 국내에 아직 유통되고 있지 않아, 동일한 제품을 해외에서 구매하여 생동성 시험의 대조약으로 사용할 수 있는지요? 국내 공고대조약이 유통되지 않음이 확인되는 경우, 일본에서 유통되고 있는 Takecab&reg;tablet 20 mg(Takeda Pharmaceutical Company Limited)와 해당 국가에서 허가받아 유통되고 있는 보노프라잔푸마르산염 제제(제조소: Takeda Pharmaceuticals Company Limited)는 국내 기허가 품목과 동일성(제조소 및 표시기재 등) 이 확인되면 생동성시험의 대조약으로 사용할 수 있음을 알려 드립니다.","2024 Q8 보노프라잔푸마르산염 제제(보신티정10밀리그램)가 대조약이 선정되어 공고 되었으나, 국내에 아직 유통되고 있지 않아, 동일한 제품을 해외에서 구매하여 생동성 시험의 대조약으로 사용할 수 있는지요? 국내 공고대조약이 유통되지 않음이 확인되는 경우, 일본에서 유통되고 있는 Takecab&reg;tablet 20 mg(Takeda Pharmaceutical Company Limited)와 해당 국가에서 허가받아 유통되고 있는 보노프라잔푸마르산염 제제(제조소: Takeda Pharmaceuticals Company Limited)는 국내 기허가 품목과 동일성(제조소 및 표시기재 등) 이 확인되면 생동성시험의 대조약으로 사용할 수 있음을 알려 드립니다.","2024 Q8 보노프라잔푸마르산염 제제(보신티정10밀리그램)가 대조약이 선정되어 공고 되었으나, 국내에 아직 유통되고 있지 않아, 동일한 제품을 해외에서 구매하여 생동성 시험의 대조약으로 사용할 수 있는지요? 국내 공고대조약이 유통되지 않음이 확인되는 경우, 일본에서 유통되고 있는 Takecab&reg;tablet 20 mg(Takeda Pharmaceutical Company Limited)와 해당 국가에서 허가받아 유통되고 있는 보노프라잔푸마르산염 제제(제조소: Takeda Pharmaceuticals Company Limited)는 국내 기허가 품목과 동일성(제조소 및 표시기재 등) 이 확인되면 생동성시험의 대조약으로 사용할 수 있음을 알려 드립니다."
2024,"Q9 L-시스틴 제제의 비교용출시험시, 난용성 제제의 수용성 용출액에서 용출률이 낮을 때도 시험생략 사유에 해당되나요? 난용성 제제의 비교용출시험은 「의약품동등성시험기준」 (식약처 고시) [별표 5의2] 표1 일반제제(장용성 및 서방성제제 제외)에 대한 용출시험조건‘2) 난용성 제제’에 따라 시험하여야 합니다. 다만, 특정 시험액에서 대조약과 시험약의 평균용출률이 규정된 시간 내 10% 미만인 난용성 제제로 확인되는 경우 밸리데이션된 시험방법으로 실시한 예비 시험결과(검체수 6개 이상)를 제출하실 수 있습니다.","2024 Q9 L-시스틴 제제의 비교용출시험시, 난용성 제제의 수용성 용출액에서 용출률이 낮을 때도 시험생략 사유에 해당되나요? 난용성 제제의 비교용출시험은 「의약품동등성시험기준」 (식약처 고시) [별표 5의2] 표1 일반제제(장용성 및 서방성제제 제외)에 대한 용출시험조건‘2) 난용성 제제’에 따라 시험하여야 합니다. 다만, 특정 시험액에서 대조약과 시험약의 평균용출률이 규정된 시간 내 10% 미만인 난용성 제제로 확인되는 경우 밸리데이션된 시험방법으로 실시한 예비 시험결과(검체수 6개 이상)를 제출하실 수 있습니다. 1 1","2024 Q9 L-시스틴 제제의 비교용출시험시, 난용성 제제의 수용성 용출액에서 용출률이 낮을 때도 시험생략 사유에 해당되나요? 난용성 제제의 비교용출시험은 「의약품동등성시험기준」 (식약처 고시) [별표 5의2] 표1 일반제제(장용성 및 서방성제제 제외)에 대한 용출시험조건‘2) 난용성 제제’에 따라 시험하여야 합니다. 다만, 특정 시험액에서 대조약과 시험약의 평균용출률이 규정된 시간 내 10% 미만인 난용성 제제로 확인되는 경우 밸리데이션된 시험방법으로 실시한 예비 시험결과(검체수 6개 이상)를 제출하실 수 있습니다. 1 1"
2024,"Q10 국내 허가된 성분의 염을 변경하여 의약품을 개발하고자 할 때, 독성시험자료 제출이 필요한가요? 국내 기허가된 성분을 근거로 새로운 염을 함유한 제제를 개발하고자 하는 경우 「의약품의 품목허가·신고·심사 규정」 (식품의약품안전처 고시) 제2조제8호 [별표 1] 제1부 전문의약품의 종류 및 제출자료의 범위 1. 새로운 염(이성체 등)을 유효 성분으로 함유한 의약품에 해당하는 독성. 약리, 임상시험성적에 관한 자료를 제출 하여야 합니다. - 일반적으로 비임상시험자료(동물시험에서의 PK)와 임상시험자료(1상 PK) 등을 근거로 국내에서 허가된 의약품과 화학적 기본골격이 동일하고, 효능·효과, 용법· 용량, 부작용, 약리작용 등이 허가된 의약품과 거의 동등하다고 추정되며 경구 투여제로서 소화기관내에서 반드시 분해되어 국내에서 허가된 의약품과 동일한 성분으로 되어 흡수되는 것이 명확하다고 인정되는 경우, 그 염류 등이 의약품으로 자주 사용되는 것은 임상시험성적에 관한 자료로 제7조제4호부터 제6호까지의 자료를 갈음할 수 있습니다.","2024 Q10 국내 허가된 성분의 염을 변경하여 의약품을 개발하고자 할 때, 독성시험자료 제출이 필요한가요? 국내 기허가된 성분을 근거로 새로운 염을 함유한 제제를 개발하고자 하는 경우 「의약품의 품목허가·신고·심사 규정」 (식품의약품안전처 고시) 제2조제8호 [별표 1] 제1부 전문의약품의 종류 및 제출자료의 범위 1. 새로운 염(이성체 등)을 유효 성분으로 함유한 의약품에 해당하는 독성. 약리, 임상시험성적에 관한 자료를 제출 하여야 합니다. - 일반적으로 비임상시험자료(동물시험에서의 PK)와 임상시험자료(1상 PK) 등을 근거로 국내에서 허가된 의약품과 화학적 기본골격이 동일하고, 효능·효과, 용법· 용량, 부작용, 약리작용 등이 허가된 의약품과 거의 동등하다고 추정되며 경구 투여제로서 소화기관내에서 반드시 분해되어 국내에서 허가된 의약품과 동일한 성분으로 되어 흡수되는 것이 명확하다고 인정되는 경우, 그 염류 등이 의약품으로 자주 사용되는 것은 임상시험성적에 관한 자료로 제7조제4호부터 제6호까지의 자료를 갈음할 수 있습니다.","2024 Q10 국내 허가된 성분의 염을 변경하여 의약품을 개발하고자 할 때, 독성시험자료 제출이 필요한가요? 국내 기허가된 성분을 근거로 새로운 염을 함유한 제제를 개발하고자 하는 경우 「의약품의 품목허가·신고·심사 규정」 (식품의약품안전처 고시) 제2조제8호 [별표 1] 제1부 전문의약품의 종류 및 제출자료의 범위 1. 새로운 염(이성체 등)을 유효 성분으로 함유한 의약품에 해당하는 독성. 약리, 임상시험성적에 관한 자료를 제출 하여야 합니다. - 일반적으로 비임상시험자료(동물시험에서의 PK)와 임상시험자료(1상 PK) 등을 근거로 국내에서 허가된 의약품과 화학적 기본골격이 동일하고, 효능·효과, 용법· 용량, 부작용, 약리작용 등이 허가된 의약품과 거의 동등하다고 추정되며 경구 투여제로서 소화기관내에서 반드시 분해되어 국내에서 허가된 의약품과 동일한 성분으로 되어 흡수되는 것이 명확하다고 인정되는 경우, 그 염류 등이 의약품으로 자주 사용되는 것은 임상시험성적에 관한 자료로 제7조제4호부터 제6호까지의 자료를 갈음할 수 있습니다."
