입력 문장,입력 시간
서방정 비교용출시험 용출액 설정,24-12-31 11:29:00
비교용출시험,24-12-31 11:32:19
비교용출시험,24-12-31 11:33:35
비교용출시험 자료제출 요건,24-12-31 11:34:10
비교용출시험 면제요건,24-12-31 11:35:29
비교용출시험자료 제출 면제요건,24-12-31 11:35:37
일반의약품의 CTD 제출 면제 가능한지?,24-12-31 11:36:43
희귀의약품의 가교시험 면제,24-12-31 11:37:40
희귀의약품의 허가 시 가교시험 면제,24-12-31 11:38:30
펜토산 BCS 생동성시험 면제,24-12-31 11:38:49
펜토산,24-12-31 11:39:10
가교시험 면제,24-12-31 11:39:24
희귀의약품 지정을 받은 유전자치료제,24-12-31 11:42:05
희귀의약품 유전자치료제 가교 면제,24-12-31 11:42:22
펜토산폴리설페이트나트륨,24-12-31 11:42:37
비교용출시험,24-12-31 12:01:40
비교용출시험 대조약 선정,24-12-31 12:01:56
펜토산 BCS,24-12-31 12:02:40
펜토산,24-12-31 12:03:05
펜토산 제품 개발하려고 합니다. BCS 클래스로 면제 가능한지?,24-12-31 12:04:07
생물학적동등성시험 면제가 가능한 성분,24-12-31 12:05:11
일반의약품의 대조약 선정,24-12-31 12:07:26
난용성 의약품의 비교용출시험을 고시용출액을 다 하지 않고 기준용출액만 해도되는지?,24-12-31 12:09:37
난용성 의약품의 비교용출시험을 고시용출액을 다 하지 않고 기준용출액만 해도되는지?,24-12-31 12:10:35
난용성 의약품의 비교용출시험을 고시용출액을 다 하지 않고 기준용출액만 해도되는지?,25-01-05 16:46:46
난용성 의약품의 비교용출시험을 고시용출액을 다 하지 않고 기준용출액만 해도되는지?,25-01-05 16:47:49
"한약제 제네릭 품목 개발, 생동성시험 불가능한 경우 비교용출시험 갈음 가능한지?",25-01-05 17:45:15
"한약제 제네릭 품목 개발, 생동성시험 불가능한 경우 비교용출시험 갈음 가능한지?",25-01-05 17:45:38
난용성 의약품의 비교용출시험을 고시용출액을 다 하지 않고 기준용출액만 해도되는지?,25-01-18 19:28:41
비교용출시험 85%초과해 수용성제제가 난용성제제된 경우 기준용출액만 시험하면 되는지?,25-01-18 19:29:43
비교용출시험 생략 기준,25-01-18 19:30:35
